,AEDSALUNR_Q
1980-01-01,1861.0
1980-04-01,1860.0
1980-07-01,2504.0
1980-10-01,1961.0
1981-01-01,1781.0
1981-04-01,2412.0
1981-07-01,1873.0
1981-10-01,1510.0
1982-01-01,1276.0
1982-04-01,1123.0
1982-07-01,1221.0
1982-10-01,1379.0
1983-01-01,1260.0
1983-04-01,1600.0
1983-07-01,1633.0
1983-10-01,1239.0
1984-01-01,1498.0
1984-04-01,1641.0
1984-07-01,1441.0
1984-10-01,1490.0
1985-01-01,1995.0
1985-04-01,2524.0
1985-07-01,2493.0
1985-10-01,1927.0
1986-01-01,1811.0
1986-04-01,2213.0
1986-07-01,2439.0
1986-10-01,1565.0
1987-01-01,1941.0
1987-04-01,2605.0
1987-07-01,2453.0
1987-10-01,1700.0
1988-01-01,1988.0
1988-04-01,2686.0
1988-07-01,2621.0
1988-10-01,1943.0
1989-01-01,2266.0
1989-04-01,2990.0
1989-07-01,3137.0
1989-10-01,2764.0
1990-01-01,2846.0
1990-04-01,2159.0
1990-07-01,2658.0
1990-10-01,2506.0
1991-01-01,2585.0
1991-04-01,3493.0
1991-07-01,3047.0
1991-10-01,2510.0
1992-01-01,3196.0
1992-04-01,3528.0
1992-07-01,3444.0
1992-10-01,2603.0
1993-01-01,2458.0
1993-04-01,3511.0
1993-07-01,3252.0
1993-10-01,2265.0
1994-01-01,2203.0
1994-04-01,3146.0
1994-07-01,2489.0
1994-10-01,1928.0
1995-01-01,1818.0
1995-04-01,2660.0
1995-07-01,2626.0
1995-10-01,1800.0
1996-01-01,2320.0
1996-04-01,3637.0
1996-07-01,2957.0
1996-10-01,2652.0
1997-01-01,2802.0
1997-04-01,3804.0
1997-07-01,3597.0
1997-10-01,2814.0
1998-01-01,2991.0
1998-04-01,4347.0
1998-07-01,3781.0
1998-10-01,2608.0
1999-01-01,2798.0
1999-04-01,4372.0
1999-07-01,3800.0
1999-10-01,2624.0
2000-01-01,3215.0
2000-04-01,4325.0
2000-07-01,3806.0
2000-10-01,2843.0
2001-01-01,3378.0
2001-04-01,4947.0
2001-07-01,4268.0
2001-10-01,3486.0
2002-01-01,3645.0
2002-04-01,5029.0
2002-07-01,4178.0
2002-10-01,3071.0
2003-01-01,3428.0
2003-04-01,4928.0
2003-07-01,4605.0
2003-10-01,3316.0
2004-01-01,3830.0
2004-04-01,5740.0
2004-07-01,4679.0
2004-10-01,3403.0
2005-01-01,3823.0
2005-04-01,6034.0
2005-07-01,5091.0
2005-10-01,3686.0
2006-01-01,4796.0
2006-04-01,6774.0
2006-07-01,5876.0
2006-10-01,4538.0
2007-01-01,5954.0
2007-04-01,7608.0
2007-07-01,4063.0
2007-10-01,3603.0
2008-01-01,4200.0
2008-04-01,5773.0
2008-07-01,5339.0
2008-10-01,2880.0
2009-01-01,3291.0
2009-04-01,6882.0
2009-07-01,6021.0
2009-10-01,3922.0
2010-01-01,3992.0
2010-04-01,5561.0
2010-07-01,4203.0
2010-10-01,3328.0
2011-01-01,3660.0
2011-04-01,5777.0
2011-07-01,4947.0
2011-10-01,3540.0
2012-01-01,4057.0
2012-04-01,6424.0
2012-07-01,5011.0
2012-10-01,3651.0
2013-01-01,3996.0
2013-04-01,6459.0
2013-07-01,6038.0
2013-10-01,4082.0
2014-01-01,4358.0
2014-04-01,7644.0
2014-07-01,6566.0
2014-10-01,4339.0
2015-01-01,3859.0
2015-04-01,6959.0
2015-07-01,6198.0
2015-10-01,3868.0
2016-01-01,3557.0
2016-04-01,6527.0
2016-07-01,5560.0
2016-10-01,3787.0
2017-01-01,3964.0
2017-04-01,6155.0
2017-07-01,5414.0
2017-10-01,3993.0
2018-01-01,3749.0
2018-04-01,5930.0
2018-07-01,5327.0
2018-10-01,3480.0
2019-01-01,3293.0
2019-04-01,6095.0
2019-07-01,5521.0
2019-10-01,3598.0
2020-01-01,3333.0
2020-04-01,4500.0
2020-07-01,6812.0
2020-10-01,4784.0
2021-01-01,5951.0
2021-04-01,9531.0
2021-07-01,7024.0
2021-10-01,5683.0
2022-01-01,7484.0
2022-04-01,9376.0
