,AEDNLIUNR_Q
1980-01-01,4183.0
1980-04-01,4998.0
1980-07-01,4846.0
1980-10-01,3383.0
1981-01-01,4763.0
1981-04-01,5138.0
1981-07-01,5093.0
1981-10-01,3914.0
1982-01-01,5181.0
1982-04-01,5948.0
1982-07-01,5687.0
1982-10-01,4235.0
1983-01-01,5262.0
1983-04-01,5721.0
1983-07-01,5123.0
1983-10-01,3689.0
1984-01-01,5277.0
1984-04-01,5075.0
1984-07-01,4701.0
1984-10-01,3771.0
1985-01-01,4832.0
1985-04-01,4866.0
1985-07-01,4092.0
1985-10-01,3136.0
1986-01-01,4595.0
1986-04-01,5024.0
1986-07-01,4169.0
1986-10-01,2833.0
1987-01-01,4028.0
1987-04-01,4144.0
1987-07-01,4067.0
1987-10-01,3028.0
1988-01-01,4411.0
1988-04-01,4482.0
1988-07-01,4191.0
1988-10-01,2765.0
1989-01-01,3891.0
1989-04-01,4701.0
1989-07-01,4383.0
1989-10-01,2889.0
1990-01-01,3919.0
1990-04-01,7009.0
1990-07-01,5372.0
1990-10-01,4225.0
1991-01-01,5251.0
1991-04-01,6306.0
1991-07-01,5550.0
1991-10-01,3865.0
1992-01-01,6098.0
1992-04-01,6291.0
1992-07-01,5760.0
1992-10-01,4082.0
1993-01-01,6005.0
1993-04-01,6666.0
1993-07-01,6142.0
1993-10-01,4433.0
1994-01-01,5733.0
1994-04-01,6349.0
1994-07-01,5366.0
1994-10-01,3664.0
1995-01-01,5683.0
1995-04-01,6448.0
1995-07-01,5548.0
1995-10-01,4025.0
1996-01-01,6349.0
1996-04-01,7108.0
1996-07-01,5760.0
1996-10-01,3917.0
1997-01-01,6050.0
1997-04-01,7022.0
1997-07-01,5644.0
1997-10-01,3757.0
1998-01-01,5258.0
1998-04-01,6350.0
1998-07-01,5174.0
1998-10-01,3403.0
1999-01-01,5138.0
1999-04-01,6036.0
1999-07-01,5148.0
1999-10-01,3394.0
2000-01-01,5147.0
2000-04-01,6124.0
2000-07-01,5604.0
2000-10-01,3652.0
2001-01-01,5596.0
2001-04-01,5911.0
2001-07-01,4719.0
2001-10-01,3612.0
2002-01-01,4410.0
2002-04-01,5985.0
2002-07-01,5654.0
2002-10-01,4239.0
2003-01-01,5351.0
2003-04-01,7237.0
2003-07-01,7325.0
2003-10-01,4788.0
2004-01-01,6770.0
2004-04-01,8086.0
2004-07-01,6883.0
2004-10-01,4529.0
2005-01-01,6459.0
2005-04-01,8103.0
2005-07-01,6756.0
2005-10-01,4502.0
2006-01-01,5652.0
2006-04-01,7027.0
2006-07-01,7491.0
2006-10-01,5223.0
2007-01-01,8281.0
2007-04-01,14836.0
2007-07-01,14326.0
2007-10-01,8648.0
2008-01-01,12621.0
2008-04-01,14627.0
2008-07-01,11187.0
2008-10-01,7244.0
2009-01-01,9114.0
2009-04-01,11124.0
2009-07-01,9536.0
2009-10-01,5834.0
2010-01-01,9751.0
2010-04-01,12847.0
2010-07-01,9613.0
2010-10-01,5960.0
2011-01-01,8936.0
2011-04-01,12091.0
2011-07-01,10096.0
2011-10-01,5771.0
2012-01-01,9641.0
2012-04-01,12042.0
2012-07-01,9251.0
2012-10-01,5358.0
2013-01-01,8266.0
2013-04-01,11651.0
2013-07-01,9129.0
2013-10-01,5114.0
2014-01-01,8319.0
2014-04-01,12634.0
2014-07-01,9575.0
2014-10-01,5584.0
2015-01-01,10081.0
2015-04-01,12813.0
2015-07-01,11159.0
2015-10-01,6728.0
2016-01-01,10297.0
2016-04-01,12410.0
2016-07-01,10629.0
2016-10-01,6294.0
2017-01-01,9598.0
2017-04-01,13200.0
2017-07-01,11279.0
2017-10-01,6837.0
2018-01-01,10543.0
2018-04-01,14508.0
2018-07-01,11140.0
2018-10-01,7017.0
2019-01-01,9700.0
2019-04-01,12867.0
2019-07-01,10579.0
2019-10-01,6672.0
2020-01-01,8994.0
2020-04-01,10372.0
2020-07-01,11031.0
2020-10-01,6930.0
2021-01-01,10869.0
2021-04-01,15462.0
2021-07-01,11425.0
2021-10-01,7266.0
2022-01-01,10933.0
2022-04-01,16401.0
2022-07-01,11852.0
2022-10-01,6808.0
